date,cpi_all,cpi_durables,cpi_core_goods,cpi_services_less_energy
2020-01-01,257.971,104.307,144.308,266.716
2020-02-01,258.678,104.722,144.717,267.37
2020-03-01,258.115,104.818,144.488,267.054
2020-04-01,256.389,104.288,143.211,265.746
2020-05-01,256.394,104.039,142.711,265.412
2020-06-01,257.797,103.543,142.586,265.849
2020-07-01,259.101,104.584,143.375,267.389
2020-08-01,259.918,106.422,144.691,268.422
2020-09-01,260.28,107.527,145.698,268.933
2020-10-01,260.388,108.063,146.112,269.306
2020-11-01,260.229,108.116,146.388,269.981
2020-12-01,260.474,108.229,146.718,270.341
2021-01-01,261.582,108.045,146.752,270.387
2021-02-01,263.014,108.345,146.617,270.793
2021-03-01,264.877,109,146.933,271.459
2021-04-01,267.054,112.29,149.554,273.66
2021-05-01,269.195,115.005,151.991,275.465
2021-06-01,271.696,118.657,154.821,277.651
2021-07-01,273.003,119.362,155.288,278.648
2021-08-01,273.567,119.491,155.57,278.997
2021-09-01,274.31,120.067,156.259,279.698
2021-10-01,276.589,122.112,158.483,281.668
2021-11-01,277.948,124.165,160.247,283.406
2021-12-01,278.802,126.453,162.481,285.18
2022-01-01,281.148,128.028,164.074,286.757
2022-02-01,283.716,128.701,164.945,288.273
2022-03-01,287.504,128.044,164.318,289.056
2022-04-01,289.109,127.925,164.153,290.514
2022-05-01,292.296,127.939,164.883,292.063
2022-06-01,296.311,128.507,165.765,294.05
2022-07-01,296.276,128.777,165.911,295.088
2022-08-01,296.171,128.856,166.337,296.535
2022-09-01,296.808,128.613,166.6,298.226
2022-10-01,298.012,127.996,166.614,299.399
2022-11-01,297.711,127.17,166.214,300.325
2022-12-01,296.797,126.442,165.939,301.394
2023-01-01,299.17,126.436,166.187,302.642
2023-02-01,300.84,126.384,166.408,304.123
2023-03-01,301.836,126.815,166.755,305.147
2023-04-01,303.363,127.626,167.495,306.534
2023-05-01,304.127,127.797,168.261,307.652
2023-06-01,305.109,127.404,168.061,308.322
2023-07-01,305.691,126.956,167.462,308.96
2023-08-01,307.026,126.343,167.037,309.58
2023-09-01,307.789,125.739,166.558,310.539
2023-10-01,307.671,125.407,166.697,311.457
2023-11-01,307.051,125.181,166.254,312.392
2023-12-01,306.746,124.994,166.117,313.195
2024-01-01,308.417,124.418,165.637,314.319
2024-02-01,310.326,124.381,165.903,315.564
2024-03-01,312.332,124.163,165.775,316.792
2024-04-01,313.548,123.474,165.598,317.649
2024-05-01,314.069,122.856,165.375,318.095
2024-06-01,314.175,122.156,165.079,318.39
2024-07-01,314.54,121.712,164.669,318.94
2024-08-01,314.796,121.097,164.399,319.75
2024-09-01,315.301,122.079,164.634,320.732
2024-10-01,315.664,122.373,164.698,321.731
2024-11-01,315.493,122.676,165.018,322.657
2024-12-01,315.605,122.747,165.006,323.259
2025-01-01,317.671,122.907,165.508,324.638
2025-02-01,319.082,122.82,165.832,325.465
2025-03-01,319.799,122.926,165.719,325.69
2025-04-01,320.795,122.94,165.87,326.467
2025-05-01,321.465,122.849,165.807,326.893
2025-06-01,322.561,122.888,166.114,327.658
2025-07-01,323.048,123.259,166.468,328.682
2025-08-01,323.976,123.481,166.838,329.7
2025-09-01,324.8,124.265,167.17,330.418
2025-10-01,NA,NA,NA,NA
2025-11-01,324.122,124.457,167.272,331.043
2025-12-01,324.054,124.254,167.325,331.814
2026-01-01,325.252,123.458,167.394,332.793
2026-02-01,326.785,122.888,167.53,333.512
