bea_code,customs_value_2025,duties_2025,tau_c_2025,tau_c_recent,customs_value_june,duties_june,tau_c_june
111CA,67222858149,2826713918,0.04204989189442922,0.03591406805251549,5233926860,301037525,0.05751657083721647
113FF,16469640833,1108994922,0.06733570775738604,0.09344298787263147,1698939144,95604972,0.056273335238428056
211,145402239010,157173909,0.0010809593447126383,3.6109813241792576e-4,11193081638,4856478,4.338821208551253e-4
212,6219952124,109079049,0.017536959581909477,0.02297383760928123,454722813,14152857,0.031124141114952153
311FT,149216863507,10077524746,0.06753609819393669,0.0693533264360489,12556737557,1022238445,0.08140955724842183
313TT,29408049394,5846035331,0.19879031256635274,0.2207971364298924,2219411772,450927327,0.20317425215495344
315AL,121485178259,28865494684,0.23760507329100086,0.2736856326819096,9926179518,2466124585,0.24844650255699718
321,23571168057,1331226539,0.05647690160202569,0.11636953622273562,2020992979,93985989,0.046504856759326724
322,25269994054,1873430181,0.0741365501312199,0.08400404025258752,2037341252,176687348,0.08672447378491505
323,5844425370,353390183,0.06046619823635459,0.049981804418718245,482117941,33761086,0.07002661201525376
324,61191563859,217588970,0.0035558654866441565,0.0037206458155264817,5617074679,28575969,0.005087340053860088
325,411408492731,10627137874,0.02583110961918953,0.04237031245846031,26853175394,990323096,0.03687918026339913
326,74892721331,10316494245,0.1377502921733162,0.15418588026138136,5921290423,882348612,0.14901289228657041
327,27513462575,3928086116,0.14276960252793627,0.15846055176655255,2244905381,329915883,0.14696204383145892
331,210787100365,12799274060,0.06072133464446692,0.1466278559949493,9779540308,1361099971,0.13917831801220487
332,88513789438,19846971391,0.22422462666002935,0.2641221064935105,7025567701,1854702344,0.2639932348436421
333,233989838103,28349180921,0.12115560722992155,0.14944809477450705,19277441337,2323218306,0.1205148684094787
334,708869843334,24165675630,0.034090426976470765,0.025307035512814803,55354399520,1970176396,0.03559204711972639
335,192588584555,26976708164,0.14007428439402603,0.15475278063525708,16145583358,2238688864,0.1386564247547456
3361MV,445108707249,52833774776,0.11869858736877967,0.1084997636516077,35632790732,6268965088,0.17593247565563708
3364OT,445108707249,52833774776,0.11869858736877967,0.1084997636516077,35632790732,6268965088,0.17593247565563708
337,39899561839,6260827539,0.15691469405762565,0.23048000562219226,3143269464,507508557,0.1614588131283421
339,132996431125,14806713561,0.11133166082542127,0.11709034878404552,10042668672,1236855734,0.1231600657550798
