date,emp_nonfarm,emp_private,emp_manufacturing,emp_wood,emp_nonmetallic,emp_primary_metals,emp_fabricated_metals,emp_machinery,emp_computer,emp_electrical,emp_transport_equip,emp_furniture,emp_wholesale,emp_retail,emp_trucking,emp_warehousing,emp_construction,emp_oil_gas
1990-01-01,109196,91045,17797,557.3,540,688,1620.3,1423.1,1940.4,647.5,2066.4,616.9,5249.7,13251.7,1122.6,409.4,5422,191.3
1990-02-01,109436,91259,17893,558.3,540.6,690.8,1623.8,1421.2,1932.3,646,2181.6,617.5,5239.8,13226.6,1127.3,409,5416,191.9
1990-03-01,109640,91346,17868,557.1,539.4,692,1622.7,1417.9,1923.2,644.7,2176.6,615.7,5233.3,13225.1,1132.8,409.6,5392,191
1990-04-01,109674,91297,17845,554.3,536.7,692.7,1622.8,1417.1,1914,643,2175,611.9,5235.4,13226.1,1130.9,410.4,5355,190.8
1990-05-01,109828,91229,17796,550.7,534.1,692.5,1619.7,1417.2,1909.9,638.7,2167,607.9,5229.6,13213.4,1130.5,409.2,5321,190.8
1990-06-01,109850,91294,17775,547.7,531.1,692.3,1615.7,1416.2,1905.1,635.5,2171.4,604.7,5236.4,13200.9,1125,410.4,5303,190.3
1990-07-01,109815,91255,17703,546.1,526.5,692.5,1613,1414.5,1898.6,632.6,2151.7,601.6,5235.1,13190.9,1119.5,410.4,5274,190.8
1990-08-01,109607,91150,17650,540.3,523.5,688.3,1606.6,1407.6,1893.7,628.1,2136.5,598,5238.1,13153.6,1114.8,409.3,5234,190.4
1990-09-01,109522,91085,17609,536.5,520.8,686.1,1600.4,1397.6,1886.8,624.8,2132.4,595.8,5228.2,13145.6,1113.6,410.9,5197,190.5
1990-10-01,109377,90934,17577,529.2,518.2,686.4,1598.8,1400,1880.9,623.9,2129.1,592.2,5216.9,13138.8,1113.6,409.1,5134,188.4
1990-11-01,109222,90772,17428,521.8,515,681.5,1592.3,1393.8,1873.8,617.8,2058.6,583.4,5209.5,13126.9,1112.5,408.4,5095,188.1
1990-12-01,109168,90700,17395,516.6,513.2,677.9,1585.6,1390.5,1870.9,613.5,2072.2,579.7,5206.7,13093.8,1128.3,407.8,5047,189
1991-01-01,109058,90584,17330,512.5,506.5,676.2,1584,1385.1,1860.5,608.9,2050,575.6,5186,13067.4,1120.3,408.1,4972,190.6
1991-02-01,108735,90253,17213,501.9,503.9,662.1,1567.8,1378,1853.4,605.4,2025.6,566.3,5170.9,12994,1109.5,406.5,4929,191
1991-03-01,108568,90080,17140,498,497.4,663.8,1560.5,1370.7,1845,602.3,2008.9,561.8,5161.7,12962.1,1104.9,406.2,4881,190.3
1991-04-01,108350,89865,17093,499.2,497.5,661.7,1552.3,1358.1,1834.8,599.5,2022.1,562.5,5154.5,12893.6,1105.4,404.3,4842,190.1
