date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2002-01-01,484870,1304717,4507185,5539439,27995905,16335.1,9981.9,8415.4,16444.7,85111.7,2.9682707788749383,13.070828199040264,53.55877320151152,33.685254215643944,16159694,33934.59999999999,47.62011044774361
2002-02-01,421988,1294483,4237106,6209014,27364969,16179.5,10022.5,8020.8,17043.8,83472.6,2.6081646528013844,12.915769518583186,52.82647616197885,36.42975158122015,15202378,32206.000000000004,47.20355834316587
2002-03-01,431697,1542348,3682930,6911002,28904425,17481.1,11054.8,7259,19295.3,91414.9,2.4695070676330437,13.951839924738577,50.73605179776829,35.81702279829804,16336448,36324.69999999998,44.973387254402674
2002-04-01,470263,1607266,4737008,7004967,31299828,18185.8,11471.3,9097.6,19730.8,96890.8,2.5858801922379002,14.01119315160444,52.06876538867393,35.50270136030977,17480324,38405.3,45.51539501058448
2002-05-01,477439,1836133,5232523,6975248,32179272,18793.5,11928.5,9846.9,19423.5,97648.9,2.540447495144598,15.392823909125205,53.13878479521475,35.91138569258887,17657929,37656.49999999999,46.89211424322495
2002-06-01,487582,1698021,5566399,6610111,32371877,17436.2,11311.3,10727.2,18696.7,96415.9,2.7963776510937013,15.011722790483853,51.89051196957267,35.35442618216049,18009764,38244.5,47.09112159918419
2002-07-01,515551,1813335,5816901,7737307,35327271,15910.8,11292.7,11213.2,21471.8,100471.9,3.240258189405939,16.05758587406023,51.875477116255844,36.03473858735644,19444177,40583.399999999994,47.911651069156356
2002-08-01,512536,1812307,6337720,7034034,35201807,17943.3,11854,12671.4,18790.5,102276.6,2.8564199450491268,15.288569259321749,50.015941411367336,37.433990580346446,19505210,41017.4,47.553501684650904
2002-09-01,654474,1738677,6021384,6564161,33381998,17861.5,11409.2,12291.5,18190,99428.8,3.6641603448758504,15.239254286014795,48.98819509417077,36.08664650907092,18403302,39676.600000000006,46.38326368690865
2002-10-01,815048,1872933,5414431,7953460,35582424,19044.1,12657.9,11455,21443,106250.8,4.279792691699792,14.796553930746805,47.266966390222606,37.09117194422422,19526552,41650.80000000002,46.88157730463758
2002-11-01,546575,1766689,5581997,7777959,34569214,17684.9,11483.8,12569.6,20511.7,102564.5,3.0906309902798434,15.384184677545761,44.40870831211813,37.91962148432358,18895994,40314.5,46.871458160215305
2002-12-01,522728,1897022,5536867,7901136,34918120,16231.9,10148.1,11625,21271.6,99419,3.2203746942748537,18.69337117292892,47.62896344086022,37.144060625434854,19060367,40142.4,47.481882000079715
2003-01-01,504097,826727,5823699,6917244,32091502,17735.2,10830.5,11403.5,18656,97491,2.842353060580089,7.633322561285259,51.06939974569211,37.077851629502575,18019735,38865.8,46.363988390821746
2003-02-01,472149,629129,5029022,6864640,29969972,17183.5,10957.7,9629.6,18766.7,93153.9,2.7476881892513165,5.741432964947023,52.22461992190745,36.57883378537516,16975032,36616.399999999994,46.35909592423067
2003-03-01,485196,583749,4928117,8664354,33478587,19822.5,11782.9,10110,22053.6,105842.3,2.447703367385547,4.954204822242402,48.74497527200791,39.287708129285015,18817171,42073.30000000001,44.724732787777505
2003-04-01,539643,513563,5683066,7873002,33075386,18454.4,11154.8,11521.9,21144.4,103869.2,2.924196939483267,4.603964212715603,49.32403509837787,37.2344545127788,18466112,41593.69999999998,44.396415803354856
