"Date","Monthly gap (billions USD)","Cumulative gap (billions USD)"
"Dec 2024",11.7687358107597,11.7687358107597
"Jan 2025",47.3632534248561,59.1319892356158
"Feb",43.1611922728362,102.293181508452
"Mar",62.1470312196687,164.440212728121
"Apr",-7.60260591844516,156.837606809676
"May",-7.92098993594275,148.916616873733
"Jun",-20.9631681263894,127.953448747343
"Jul",-4.49220923938841,123.461239507955
"Aug",-24.8197445844608,98.6414949234942
"Sep",-23.0710654732595,75.5704294502347
"Oct",-36.0946812550641,39.4757481951706
"Nov",-22.8492636815663,16.6264845136043
"Dec",-14.111973980582,2.51451053302223
"Jan 2026",-18.8884707533868,-16.3739602203646

# Figure 15. Cumulative Import Gap vs. Trend
# Running total of monthly import gap since Dec 2024 (billions 2025 USD)
# Source: Census Bureau via Haver Analytics 
