"Date","Imported Core Goods","Imported Durables"
"Dec 2024",0,0
"Jan 2025",0.108819106059932,0.125309217530289
"Feb",0.398052237560798,0.299542815063214
"Mar",0.331648231031667,0.664984341665931
"Apr",0.859317936894932,1.51883781822835
"May",0.997980405608678,1.55813654913277
"Jun",1.38173739278675,1.79964641739674
"Jul",1.45345736891254,1.93822386517086
"Aug",1.52208484939811,2.20163579569879
"Sep",1.93157351784485,2.37381297213262
"Oct",2.01816946128988,2.5168599852786
"Nov",2.0904704189102,2.63816568205475
"Dec",2.53479211112528,3.1269025750712
"Jan 2026",2.86051396714504,3.41948466196325

# Figure 7. Imported PCE Goods Prices: Deviation from Trend
# Percent difference from trend (import-content-weighted index)
# Source: BEA PCE components via Haver Analytics; BEA I-O Tables; and The Budget Lab analysis 
