"Date","Real imports","Imports trend","Monthly gap (billions USD)","Cumulative gap (billions USD)"
2024-12-01,253703,243438.774684143,11.7687358107597,11.7687358107597
2025-01-01,285683,244374.646013476,47.3632534248561,59.1319892356158
2025-02-01,282954,245310.517342808,43.1611922728362,102.293181508452
2025-03-01,300358,246155.820478979,62.1470312196687,164.440212728121
2025-04-01,240461,247091.691808312,-7.60260591844516,156.837606809676
2025-05-01,241089,247997.373739924,-7.92098993594275,148.916616873733
2025-06-01,230650,248933.245069256,-20.9631681263894,127.953448747343
2025-07-01,245921,249838.927000868,-4.49220923938841,123.461239507955
2025-08-01,229128,250774.7983302,-24.8197445844608,98.6414949234942
2025-09-01,231589,251710.669659533,-23.0710654732595,75.5704294502347
2025-10-01,221136,252616.351591145,-36.0946812550641,39.4757481951706
2025-11-01,233624,253552.222920477,-22.8492636815663,16.6264845136043
2025-12-01,242150,254457.904852089,-14.111973980582,2.51451053302223
2026-01-01,238920,255393.776181421,-18.8884707533868,-16.3739602203646

# Figure 15b. Cumulative Import Gap vs. Trend
# Running total of monthly import gap since Dec 2024 (billions 2025 USD)
# Source: Census Bureau via Haver Analytics 
