"Date","Customs duties (nominal USD)","Import values (nominal USD)","Effective tariff rate (%)"
2020-01-01,6918,195796.2,3.53326571200054
2020-02-01,6286,178108,3.5293192894199
2020-03-01,4815,193922.8,2.48294682213747
2020-04-01,4114,165611.9,2.48412100821257
2020-05-01,3833,163494.1,2.34442710776719
2020-06-01,4480,179138.1,2.50086385866547
2020-07-01,5013,199927.7,2.50740642742351
2020-08-01,5896,203112,2.90283193509
2020-09-01,6049,206083.7,2.93521515772475
2020-10-01,6156,218952.6,2.8115674351435
2020-11-01,5965,212453.3,2.80767585158715
2020-12-01,6047,214876.8,2.81417072480603
2021-01-01,5871,204628.3,2.86910461553949
2021-02-01,6323,193435.1,3.26879661447173
2021-03-01,6275,236917.2,2.64860466019352
2021-04-01,7128,226461.8,3.14755071274714
2021-05-01,6433,230414,2.79193104585659
2021-06-01,7150,242322.1,2.95061820609841
2021-07-01,7509,237302.4,3.16431692220559
2021-08-01,7270,245231.5,2.96454574555063
2021-09-01,7857,244355.8,3.21539329125808
2021-10-01,7770,251211.9,3.09300634245432
2021-11-01,7816,259390.2,3.01322100834958
2021-12-01,8187,256845.2,3.18752306836959
2022-01-01,8587,247008.6,3.47639717807396
2022-02-01,8049,233955.4,3.44039932397371
2022-03-01,8151,295671.9,2.75677194890688
2022-04-01,9162,272415.1,3.36324968770087
2022-05-01,8095,285287.2,2.83749148226769
2022-06-01,8364,285978,2.92470050143717
2022-07-01,8530,270391,3.15469079961981
2022-08-01,8456,283273,2.98510624026999
2022-09-01,8741,275053.1,3.17793182480038
2022-10-01,8163,281439.4,2.90044677468755
2022-11-01,7171,255572,2.80586292708121
2022-12-01,6552,253688.4,2.58269593722062
2023-01-01,6838,254625.8,2.68550948097168
2023-02-01,6349,230169.8,2.75839836503312
2023-03-01,6152,261243.9,2.35488752081867
2023-04-01,6350,249869.2,2.5413296236591
2023-05-01,6373,263244.8,2.42094050860644
2023-06-01,6475,257210.7,2.51739138379546
2023-07-01,6910,255333,2.70626985152722
2023-08-01,6325,265555.5,2.38179966146436
2023-09-01,6678,260862.5,2.55996933250276
2023-10-01,6903,276178.5,2.4994704511756
2023-11-01,6296,255461.3,2.46456116836484
2023-12-01,5744,247041.3,2.32511729820075
2024-01-01,6477,253692.7,2.55308883542964
2024-02-01,6208,242229,2.56286406664768
2024-03-01,6064,259086.6,2.34053015478222
2024-04-01,6367,270974.2,2.34967019000333
2024-05-01,5225,274906.2,1.90064829385441
2024-06-01,6323,266056.6,2.37656197966899
2024-07-01,7133,288127.3,2.47564184303258
2024-08-01,7047,277306.3,2.54123328608113
2024-09-01,7249,285963.2,2.53494155891387
2024-10-01,7297,288844,2.52627715998948
2024-11-01,6712,274312.3,2.44684616767094
2024-12-01,6814,284911.2,2.39162237216368
2025-01-01,7341,317226.6,2.31411867731142
2025-02-01,7247,288193.9,2.51462643727019
2025-03-01,8168,342726.7,2.3832400568733
2025-04-01,15634,276133.4,5.6617562381081
2025-05-01,22173,276402.9,8.02198529754934
2025-06-01,26632,265517.9,10.0302088861052
2025-07-01,27670,292215,9.46905531885769
2025-08-01,29503,262848.9,11.2243193713194
2025-09-01,29675,276477.6,10.7332384251021
2025-10-01,31354,274928.6,11.4044155464364
2025-11-01,30756,260826.2,11.7917601836012
2025-12-01,27892,282197,9.88387544871136
2026-01-01,27742,260537.1,10.6480036816254
2026-02-01,26594,,

# Figure 2. Effective Tariff Rate
# Customs duties as a share of import value
# Source: U.S. Treasury, Census Bureau via Haver Analytics 
